"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1731,"Debt","Delay",2023-08-20 18:53:00,2023-08-20 18:55:11,2023-08-20 18:55:11,130,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","They were given 25 cents and had the option to quadruple it and give it to me.",6.036,13.052,13.644,4,0.51,"to hopefully guarantee I would be rewarded in return","Some experience","that they had the option to give me more money","no idea","No, I would like to complete the study.",454,"English",31,"Male","Mixed","United States","United States","United States","English",NA,NA
1732,"Control","Pressure",2023-08-20 18:49:23,2023-08-20 18:55:19,2023-08-20 18:55:19,355,"I consent to participate in this study. Take me to the study.",0.43,"You would earn $0.75, and the other person would earn $0.25","An anonymous random person",1.482,1.482,4.244,1,0.07,"Because I'm being stingy I guess","Some experience","they were an anonmyous person from prolific","I'm not sure","No, I would like to complete the study.",3400,"English",NA,"Female","White","United States","United States","United States","English",NA,NA
1733,"Need","Pressure",2023-08-20 18:46:19,2023-08-20 18:55:29,2023-08-20 18:55:29,550,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I am matched with a person who lacks access to food and receives several of their meals from a local soup kitchen.",1.751,5.971,8.848,4,0,"I do not know personally who the other person is and I feel that I could use the money for my own needs.","Some experience","The person I was matched with lack access to food and received several of their meals from a local soup kitchen.","This study was trying to see how people feel about giving money to another participant based on brief information about them.","No, I would like to complete the study.",1762,"English",28,"Male","Black","United States","United States","United States","English",NA,NA
1734,"Need","Pressure",2023-08-20 18:49:50,2023-08-20 18:55:30,2023-08-20 18:55:30,339,"I consent to participate in this study. Take me to the study.",0.82,"You would earn $0.75, and the other person would earn $0.25","he lacks food and eats at food kitchens",4.27,7.915,10.407,4,1,"because the person has no money","Some experience","he lacks food and eats at food kitchens","not sure","No, I would like to complete the study.",3134,"English",61,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1735,"Debt","Pressure",2023-08-20 18:49:19,2023-08-20 18:55:43,2023-08-20 18:55:43,383,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","They were given 25 cents and chose to multiple it by 4 and send $1.00 my way.",3.004,3.004,4.884,1,0.5,"I felt like I should share at least half so we each get the same amount.","Some experience","They were presented with 25 cents, asked if they wanted to quadruple it and they said yes, then send the quadrupled amount of $1.00 to me. I don't recall anything other than that.","Whether people would just keep the dollar or if they would share any of it?","No, I would like to complete the study.",1221,"English",35,"Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
1736,"Debt","Pressure",2023-08-20 18:50:37,2023-08-20 18:55:45,2023-08-20 18:55:46,307,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","That they had their intial payment multiplied by 4 and said they wanted to give it to me.",4.103,4.103,6.202,1,0.5,"It was fair, and I would want someone to do that for me.","Some experience","It was another participant.","whether people would share with someone they had little information about.","No, I would like to complete the study.",5499,"English",65,"Female","White","United States","United States","United States","English","No","Part-Time"
1737,"Debt","Pressure",2023-08-20 18:44:37,2023-08-20 18:56:00,2023-08-20 18:56:00,683,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They received .25  and were asked if they wanted to multiply it by 4 and give to me.  They said yes",4.577,5.604,6.973,2,0,"Because I really need it","Some experience","They were given .25 and asked if they wanted to multiply it by 4 and then give to me","I am not exactly sure","No, I would like to complete the study.",4192,"English",65,"Female","White","United States","United States","United States","English","No","Part-Time"
1738,"Need","Delay",2023-08-20 18:49:06,2023-08-20 18:56:13,2023-08-20 18:56:14,427,"I consent to participate in this study. Take me to the study.",0.79,"You would earn $0.75, and the other person would earn $0.25","They lack regular access to food and receive several of their meals from a soup kitchen",8.473,17.43,17.452,4,0.75,"This person needs the money more than I do is why I chose to give them more than myself","No experience","They don’t have access to food regularly and get most of their meals from a local soup kitchen.","How much people are willing to help others in need","No, I would like to complete the study.",4526,"English",56,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1739,"Need","Delay",2023-08-20 18:38:09,2023-08-20 18:56:20,2023-08-20 18:56:20,1090,"I consent to participate in this study. Take me to the study.",0.72,"You would earn $0.75, and the other person would earn $0.25","They get most of their meals from a local soup kitchen",20.662,20.662,23.784,1,0.6,"I wanted to give them most of the money because they are less fortune than me, but I also wanted to keep some for myself because i need the money as well","Some experience","they get most of their meals from their local food kitchen","how generous people will give to someone who is less fortunate","No, I would like to complete the study.",2589,"English",23,"Female","Black","United States","United States","United States","English","Yes","Full-Time"
1740,"Need","Pressure",2023-08-20 18:51:07,2023-08-20 18:56:22,2023-08-20 18:56:22,314,"I consent to participate in this study. Take me to the study.",0.39,"You would earn $0.75, and the other person would earn $0.25","They have to regularly get food from local soup kitchens",1.648,4.398,5.386,3,0.5,"l'd like to get some of the bonus payment but also they really need money more than me so 50/50 seemed like a decent amount for someone I don't know in a quick research study.","Some experience","They do not have regular access to food and have to go to local soup kitchen several times a week","Depending on who people are matched with how generous they are.","No, I would like to complete the study.",1054,"English",30,"Male","White","United States","United States","United States","English",NA,NA
1741,"Need","Pressure",2023-08-20 18:49:26,2023-08-20 18:56:23,2023-08-20 18:56:23,416,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","the other person is someone who lacks regular access to food and receives several of their meals at a local soup kitchen.",2.336,2.336,3.651,1,1,"they need the money more than me.","Some experience","they lack regular access to food and receive several of their meals at a local soup kitchen.","I think this study is about the generosity of people from different economic stances.","No, I would like to complete the study.",644,"English",35,"Male","White","United States","United States","United States","English",NA,NA
1742,"Control","Pressure",2023-08-20 18:52:32,2023-08-20 18:56:24,2023-08-20 18:56:24,232,"I consent to participate in this study. Take me to the study.",0.54,"You would earn $0.75, and the other person would earn $0.25","We don’t know each other and we won’t know the decisions made",8.097,8.097,11.315,1,0.15,"I wanted more for myself but felt unfair giving nothing","Some experience","They don’t know me","To check people’s generosity","No, I would like to complete the study.",1951,"English",35,"Female","White","United States","United States","United States","English","No","Full-Time"
1743,"Control","Pressure",2023-08-20 18:51:24,2023-08-20 18:56:25,2023-08-20 18:56:26,301,"I consent to participate in this study. Take me to the study.",0.46,"You would earn $0.75, and the other person would earn $0.25","The person is a randomly selected person from Prolific.",4.223,4.223,6.477,1,0,"I chose the amount I did because there seldom is a real person behind these fictitious ""other person"" experiments. Most of the time, it ends up that the other person doesn't exist.","No experience","It was a random person selected from Prolific.","Generosity toward strangers.","No, I would like to complete the study.",508,"English",51,"Female","White","United States","United States","United States","English","No",NA
1744,"Need","Delay",2023-08-20 18:51:09,2023-08-20 18:56:28,2023-08-20 18:56:29,318,"I consent to participate in this study. Take me to the study.",0.59,"You would earn $0.75, and the other person would earn $0.25","The other person is poor, and regularly gets their meals from a soup kitchen.",4.885,4.885,7.483,1,0.5,"The person needs the money, but so do I.","Some experience","They cannot afford food, and regularly eat at a soup kitchen.","Our sense of generosity.","No, I would like to complete the study.",3620,"English",42,"Male","White","Canada","United States","United States","English","No","Full-Time"
1745,"Need","Pressure",2023-08-20 18:45:27,2023-08-20 18:56:30,2023-08-20 18:56:31,662,"I consent to participate in this study. Take me to the study.",0.8,"You would earn $0.75, and the other person would earn $0.25","I was told that the  person uses a soup kitchen, has limited money for food, and that the person will really get the bonus payment.",3.288,3.288,5.42,1,1,"First please note I made a mistake w/recollection-the person has problems with access to food-it did nor say lack of money, which was what I put, in addition to the use of the soup kitchen. Anyway-they need food & I have plenty so hopefully the bonus may help in some way.","Some experience","That they did not have regular access to food and sometimes got meals from a soup kitchen; also they would actually receive whatever bonus amount I selected.","No idea really-maybe propensitiy for sharing (giving up part of what I could have had) when food scarcity is mentioned?","No, I would like to complete the study.",595,"English",76,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1746,"Control","Delay",2023-08-20 18:43:34,2023-08-20 18:56:31,2023-08-20 18:56:31,777,"I consent to participate in this study. Take me to the study.",0.45,"You would earn $0.25, and the other person would earn $0.75","An anonymous, randomly chosen person from prolific that will never know who I am and I will never know who they are.",21.359,21.359,22.554,1,0.55,"I think I should share with someone but I feel better if I give them more than half.","Some experience","They are anonymous and randomly chosen through Prolific. I will never know who they are and they will never know who I am.","How or if people will share when it comes to money and maybe memory.","No, I would like to complete the study.",232,"English",52,"Female","White","United States","United States","United States","English","No",NA
1747,"Control","Delay",2023-08-20 18:51:13,2023-08-20 18:56:31,2023-08-20 18:56:32,317,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","It's a real, anonymous, random, person from Prolific",12.738,14.182,15.352,3,0.5,"I chose the most fair amount which was half","Some experience","They are a real, random, anonymous person from prolific.","I don't know","No, I would like to complete the study.",984,"English",40,"Male","White","United States","United States","United States","English","No","Full-Time"
1748,"Control","Pressure",2023-08-20 18:51:13,2023-08-20 18:56:34,2023-08-20 18:56:34,321,"I consent to participate in this study. Take me to the study.",0.84,"You would earn $0.75, and the other person would earn $0.25","The other participant is a random annonymous prolific worker who will not know my true identity and I won't know their's",2.573,2.573,5.946,1,0,"I wanted to make the most profit I could","Some experience","They are an anonymous random prolific worker who will not know my true identity and they will not know mine.","How generous people are","No, I would like to complete the study.",1823,"English",39,"Female","White","United States","United States","United States","English","No","Full-Time"
1749,"Debt","Delay",2023-08-20 18:17:25,2023-08-20 18:56:34,2023-08-20 18:56:35,2348,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","I'll never know who they are. They decided to give me 4x the money they received.",6.522,13.678,16.072,3,0.4,"I wanted to give them a fair amount of money but still keep enough for myself.","Some experience","I won't know who they are.","Finding out how people react in situations where they can give money to other people anonymously.","No, I would like to complete the study.",544,"Spanish, English",38,"Male","Other","United States","United States","United States","English",NA,NA
1750,"Debt","Delay",2023-08-20 18:31:57,2023-08-20 18:56:39,2023-08-20 18:56:39,1481,"I consent to participate in this study. Take me to the study.",0.19,"You would earn $0.75, and the other person would earn $0.25","The other person was already given a certain amount and asked if they wanted to double the amount and give it to me and they said yes",5.316,6.659,8.949,2,1,"I believe in sharing with everyone.","No experience","They doubled their money and gave it to me","I would say to see if people can be fair","No, I would like to complete the study.",1337,"English",37,"Female","Black","United States","United States","United States","English",NA,NA
1751,"Need","Delay",2023-08-20 18:53:04,2023-08-20 18:56:43,2023-08-20 18:56:43,218,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The individual I've been matched with for the main task faces food insecurity and relies on meals from a local soup kitchen, while maintaining mutual anonymity.",4.744,10.608,14.439,5,0,"I choose that amount because I feel that is a fair representation of what we should get and life isn't always fair.","No experience","The other person faces food insecurity and relies on meals from a local soup kitchen","To see how people respond when put in a difficult situation.","No, I would like to complete the study.",955,"English",19,"Male","Asian","United States","United States","United States","English",NA,NA
1752,"Control","Delay",2023-08-20 18:37:07,2023-08-20 18:56:45,2023-08-20 18:56:45,1177,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","They are a random prolific participant, and I will not know who they are.",5.531,5.531,14.017,1,0.5,"I figured it would be fair to split it evenly.","Some experience","They are an anonymous, random participant from Prolific that is given nothing. We do not know anything about them.","To see how morally obligated people feel.","No, I would like to complete the study.",1539,"Chinese, English",30,"Male","Asian","United States","United States","United States","English","Yes","Part-Time"
1753,"Control","Pressure",2023-08-20 18:52:45,2023-08-20 18:56:57,2023-08-20 18:56:58,252,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They will be another randomly assigned prolific participant. They will not know who I am and I will not know who they are.",3.243,4.801,6.936,3,0,"I chose to give nothing because I really need the money right now. I felt bad that the other person got nothing, but I really have a need for bills, etc right now.","A lot of experience","They are a randomly assigned anonymous Prolific participant who doesn't know who I am","To see how giving we would be to a random person we know nothing about.","No, I would like to complete the study.",1741,"English",28,"Female","Mixed","United States","United States","United States","English","No",NA
1754,"Need","Delay",2023-08-20 18:41:58,2023-08-20 18:56:59,2023-08-20 18:56:59,900,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person sometimes lacks food and frequently has to eat at a soup kitchen in their area.",2.429,20.211,26.735,2,0.5,"I felt my decision was fair. I too have financial struggles so while I wanted to give the other participant more I felt I was also in need so I split the $1 with evenly with the other participant.","Some experience","The other person sometimes lacks food and frequently has to eat meals at the local soup kitchen. They don't know who I am and of course I don't know who they are.","If a person is more generous to someone in need.","No, I would like to complete the study.",739,"English",50,"Female","Black","United States","United States","United States","English","No","Unemployed (and job seeking)"
1755,"Need","Delay",2023-08-20 18:45:00,2023-08-20 18:57:04,2023-08-20 18:57:05,724,"I consent to participate in this study. Take me to the study.",0.37,"You would earn $0.75, and the other person would earn $0.25","They don't have regular access to food and receive meals from a soup kitchen.",5.112,8.948,14.057,5,0.15,"I gave something, and I believe they would appreciate whatever I give, and they don't know how much I am receiving.","Some experience","They have no access to food and get some meals from a soup kitchen.","How do we feel about sharing?","No, I would like to complete the study.",853,"English, Spanish",46,"Male","White","United States","United States","United States","English","No","Full-Time"
1756,"Control","Delay",2023-08-20 18:53:07,2023-08-20 18:57:08,2023-08-20 18:57:09,241,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","They will never know who I am and I will never know who they are.",4.588,16.95,17.956,2,0,"I'm hurting for money and need the funds, badly.","A lot of experience","They were random, they would never know who I am and I would never know who they are.  They would get any amount I forwarded and keep the rest.","Donation versus greed.","No, I would like to complete the study.",3540,"English",49,"Male","White","United States","United States","United States","English","No","Part-Time"
1757,"Need","Delay",2023-08-20 18:47:43,2023-08-20 18:57:12,2023-08-20 18:57:12,568,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.75, and the other person would earn $0.25","The other person lacks good access to food, and recevies meals from a soup kitchen on a number of occasions.",13.801,21.013,41.396,2,1,"It was easy, as a bonus is extra money, and though I am quite poor, I do not have food insecurity yet. Someone can better use this, and I am a firm believer in the Pay it Forward concept.","Some experience","They did not have strong access to food, and ate at soup kitchens a few times.","empathy?  Trust? I am not sure at all.","No, I would like to complete the study.",375,"English",57,"Male","White","United States","United States","United States","English","No","Part-Time"
1758,"Control","Pressure",2023-08-20 18:52:45,2023-08-20 18:57:13,2023-08-20 18:57:13,268,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","The other person is an anonymous Prolific user who I have never met before.",2.898,2.898,4.23,1,0,"I thought about my current financial constraints and I couldn't help but feel like I needed the extra money, so I chose to keep the entire bonus","Some experience","I was told that this was another Prolific user who was anonymous and chosen randomly.","I think you were trying to understand how charitable people feel about an anonymous user of a shared platform (e.g., another Prolific user)","No, I would like to complete the study.",2603,"English",38,"Male","White","United States","United States","United States","English","No","Full-Time"
1759,"Debt","Pressure",2023-08-20 18:50:15,2023-08-20 18:57:15,2023-08-20 18:57:16,420,"I consent to participate in this study. Take me to the study.",0.28,"You would earn $0.75, and the other person would earn $0.25","Previously, the person I was matched with was given $0.25. The other person was asked if they wanted to multiply this amount by 4 and transfer the multiplied amount to you. They agreed, which means I receive the amount of $1.00.
",3.181,8.416,9.169,12,0.51,"I divided it up equally between us as I could to be fair to the both of us.","Some experience","The person matched with me was initially given $0.25. They were  asked if they wanted to multiply this amount by 4 and transfer the multiplied amount to you. They said yes, meaning that you received $1.00.
","how much I would be willing to give a stranger, and if that stranger was a giving person as well.","No, I would like to complete the study.",2581,"English",56,"Male","White","United States","United States","United States","English","No","Full-Time"
1760,"Need","Delay",2023-08-20 18:47:34,2023-08-20 18:57:19,2023-08-20 18:57:20,585,"I consent to participate in this study. Take me to the study.",0.25,"You would earn $0.75, and the other person would earn $0.25","The other person lacks regular access to food and receives some of their meals at a soup kitchen.",20.398,20.398,22.104,1,1,"The other person needs the money more than I do, so I gave that person the entire bonus.","Some experience","The other person lacks regular access to food and receives some of their meals at a soup kitchen.","Perhaps you were studying how empathetic people are to others in need.","No, I would like to complete the study.",6812,"English",80,"Male","White","United States","United States","United States","English","No","Full-Time"
1761,"Debt","Pressure",2023-08-20 18:52:48,2023-08-20 18:57:23,2023-08-20 18:57:23,274,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","They were given .25 cents and were told that any amount they give to the other person would be multiplied by 4 up to 1 dollar. They chose to give all of the money to the other person.",2.105,5.134,6.135,3,0,"I have no other reason other than I just didn't. Usually I am giving, but this time I was not.","Some experience","There was not much discussed other than they chose to give me their full .25 which was multiplied by 4 and equaled a dollar. I was specifically told that they know nothing of me nor I of them.","I have absolutely no idea. These things are always different from researcher to researcher.","No, I would like to complete the study.",4118,"English",47,"Male","White","United States","United States","United States","English","No",NA
1762,"Control","Pressure",2023-08-20 18:52:17,2023-08-20 18:57:30,2023-08-20 18:57:30,312,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I will never know who the person Im matched with is.",4.796,6.982,7.288,3,0.51,"it would be an even 50% of the bonus money","Some experience","I was told I would not get any information about the other person","memory","No, I would like to complete the study.",147,"English",22,"Male","White","United States","United States","United States","English","No","Part-Time"
1763,"Control","Delay",2023-08-20 18:51:51,2023-08-20 18:57:33,2023-08-20 18:57:34,341,"I consent to participate in this study. Take me to the study.",0.82,"You would earn $0.75, and the other person would earn $0.25","they are anonymous prolific person",2.645,5.028,11.143,3,0,"I gave zero because I don't know them, and they could be a terrible person.  I imagine they would do the same.","Some experience","That they were an anonymous participant from prolific.","How generous and trusting I am.","No, I would like to complete the study.",4770,"English",36,"Male","White","United States","United States","United States","English",NA,"Full-Time"
1764,"Need","Delay",2023-08-20 18:50:22,2023-08-20 18:57:34,2023-08-20 18:57:35,431,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","The person lacks regular access to food and utilizes a soup kitchen for meals.",28.093,37.388,41.157,3,0,"I chose to give nothing to the other person because I believe an amount up to $1 would not make much of a difference with their current situation and would have more use with me.","Some experience","The person lacked regular access to food and utilized soup kitchens for several of their meals.","I think the researchers were trying to study respondents generosity.","No, I would like to complete the study.",2255,"English",27,"Male","White","United States","United States","United States","English","No","Full-Time"
1765,"Need","Pressure",2023-08-20 18:56:04,2023-08-20 18:57:36,2023-08-20 18:57:37,92,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","They are poor who dont have access to that much food.",0.634,1.568,2.641,3,0,"I wanted the most money","Some experience","They were poor","how trustworthy we think people are","No, I would like to complete the study.",3573,"English",23,"Male","White","United States","United States","United States","English",NA,NA
1766,"Need","Pressure",2023-08-20 18:52:13,2023-08-20 18:57:36,2023-08-20 18:57:37,323,"I consent to participate in this study. Take me to the study.",0.51,"You would earn $0.75, and the other person would earn $0.25","The person is poor and doesn't have access to food and gets meals from a soup kitchen.",2.008,4.319,5.292,5,0,"Because such a small amount won't help that person anyway so I should keep it all.","Some experience","The didn't have access to food and got some of their meals from a soup kitchen.","How compassionate people are.","No, I would like to complete the study.",2320,"English",41,"Male","White","United States","United States","United States","English","No","Full-Time"
1767,"Need","Pressure",2023-08-20 18:53:04,2023-08-20 18:57:37,2023-08-20 18:57:38,273,"I consent to participate in this study. Take me to the study.",0.67,"You would earn $0.75, and the other person would earn $0.25","I was told that they lack access to food and receive several of their meals at the local soup kitchen.",1.665,1.665,2.442,1,0.5,"I thought it was the most fair to split things equally right down the middle.","Some experience","I was told they lack regular access to food and receive several of their meals at a local soup kitchen.","How much money will a person donate to another person in need out of their own bonus.","No, I would like to complete the study.",5880,"English",32,"Male","White","United States","United States","United States","English","No","Full-Time"
1768,"Debt","Delay",2023-08-20 18:49:33,2023-08-20 18:57:38,2023-08-20 18:57:38,484,"I consent to participate in this study. Take me to the study.",0.8,"You would earn $0.75, and the other person would earn $0.25","the other person was given a initial amount of only 0.25 and they were asked they wanted to multiply that amount by 4 and give that amount to me. They said yes.",26.685,27.387,28.827,2,0,"Since the instructions stated that I would never know or communicate with this person ever again, I decided to keep all the amount because I am actually saving up for something and I am sure that they other person would understand.","A lot of experience","the other person was a participant from another study and they were asked, given 25 cents if they would like to multiply that amount by 4 and give it to another person. I do not remember any other details about the person that was mentioned in the study","If people are more likely to return generosity if told that the person would never know about your decision","No, I would like to complete the study.",1709,"Chinese, English",23,"Male","Asian","United States","United States","United States","English","No","Full-Time"
1769,"Control","Delay",2023-08-20 18:50:44,2023-08-20 18:57:39,2023-08-20 18:57:39,414,"I consent to participate in this study. Take me to the study.",0.79,"You would earn $0.75, and the other person would earn $0.25","They are anonymous and they will not know me nor will I know them",13.493,13.493,18.96,1,0.25,"I wanted  to give some but leave the most for me","No experience","They were a random anonymous person on prolific","How we feel towards giving to others","No, I would like to complete the study.",2351,"English",30,"Male","White","United States","United States","United States","English","No","Full-Time"
1770,"Control","Pressure",2023-08-20 18:50:24,2023-08-20 18:57:40,2023-08-20 18:57:40,435,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I could give them any amount of my $1 but my bonus would be reduced by that amount.",2.584,3.314,3.821,2,0,"Because the other person is a random stranger and I want the full bonus.","A lot of experience","The person was a random, anonymous, stranger.","Memory recall","No, I would like to complete the study.",3445,"English",31,"Male","White","United States","United States","United States","English",NA,NA
1771,"Debt","Delay",2023-08-20 18:53:32,2023-08-20 18:57:45,2023-08-20 18:57:45,252,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were given .25 and asked if they wanted to times it by 4 and give it to me.",12.619,18.886,21.488,2,0.25,"I need the money, but it seemed wrong giving them nothing","Some experience","They were given .25 and it was 4x and given to me.","no idea","No, I would like to complete the study.",1089,"English",30,"Female","White","United States","United States","United States","English","No","Other"
1772,"Debt","Pressure",2023-08-20 18:47:14,2023-08-20 18:57:47,2023-08-20 18:57:47,633,"I consent to participate in this study. Take me to the study.",0.49,"You would earn $0.75, and the other person would earn $0.25","They were given .25 cents and told they could give it to the other person and it would be multiplied by 4. They agreed to do this.",7.124,7.124,10.254,1,1,"They gave me money so I gave them money","Some experience","That person was given money and told if they gave it to me it would be multiplied by 4.","A person's reaction to what someone else did.","No, I would like to complete the study.",3458,"English",74,"Male","White","United States","United States","United States","English","No","Other"
1773,"Debt","Pressure",2023-08-20 18:32:44,2023-08-20 18:57:50,2023-08-20 18:57:51,1506,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","They were asked if they want to gibe their 0.25 to me and it will be multiplied by four. They agreed to transfer their whole amount to me.",3.602,7.637,9.046,2,1,"It's fair because I will receive a dollar because of the amount they sent to me, I wanted them to receive an equivalent amount.","Some experience","They do not know who I am and they decided to transfer all of their bonus amount to me and it will be multiplied by four.","to see how we respond to generocity?","No, I would like to complete the study.",3448,"English",51,"Female","White","United States","United States","United States","English","No",NA
1774,"Need","Delay",2023-08-20 18:51:27,2023-08-20 18:57:52,2023-08-20 18:57:52,384,"I consent to participate in this study. Take me to the study.",0.82,"You would earn $0.75, and the other person would earn $0.25","they struggle to have enough money for food",15.82,15.82,25.923,1,0,"i would like to have all the bonus money myself","A lot of experience","they struggle to have money for food and often eat at a soup kitchen","if i was charitable or giving towards people who are less fortunate","No, I would like to complete the study.",1980,"English",48,"Male","White","United States","United States","United States","English","No","Full-Time"
1775,"Debt","Delay",2023-08-20 18:52:40,2023-08-20 18:57:53,2023-08-20 18:57:54,313,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The person was given $.25 and multiplied it by four, choosing to give me $1.00.",6.229,8.341,13.2,2,0.5,"I gave half of the $1.00 bonus. It was better than giving nothing.","Some experience","They were given $.25 to give to me and multiplied it by four to give me $1.00 total.","Generosity toward strangers.","No, I would like to complete the study.",1750,"English",28,"Male","White","United States","United States","United States","English","No","Full-Time"
1776,"Need","Delay",2023-08-20 18:51:08,2023-08-20 18:57:56,2023-08-20 18:57:56,408,"I consent to participate in this study. Take me to the study.",0.8,"You would earn $0.75, and the other person would earn $0.25","They are suffering from food insecurity and regularly eat meals at a soup kitchen.",5.067,14.312,16.512,2,0,"I am a single father in poverty, trying to raise a son. The stuff he needs comes before a random stranger.","Some experience","They are suffering from food insecurity, and regularly eat meals at a soup kitchen.","Willingness to give, knowing the other person is in need maybe?","No, I would like to complete the study.",2501,"English",38,"Male","White","United States","United States","United States","English","No","Part-Time"
1777,"Debt","Pressure",2023-08-20 18:51:42,2023-08-20 18:58:02,2023-08-20 18:58:02,379,"I consent to participate in this study. Take me to the study.",0.83,"You would earn $0.25, and the other person would earn $0.75","You will be given 4 x the amount you give to the other person.",1.382,1.382,2.386,1,0.77,"I wanted to get more money back","A lot of experience","They would get the amount you give them.","Self interest to give to others","No, I would like to complete the study.",6608,"English",50,"Male","White","United States","United States","United States","English",NA,"Full-Time"
1778,"Need","Delay",2023-08-20 18:53:13,2023-08-20 18:58:04,2023-08-20 18:58:04,290,"I consent to participate in this study. Take me to the study.",0.8,"You would earn $0.75, and the other person would earn $0.25","The person I have been matched with does not have access to food.",14.556,14.556,16.081,1,0.5,"We both get equal amounts.  I am doing poorly financially as well.  I don't want either of us to struggle more.","Some experience","They do not have regular access to food.  They get most meals from a soup kitchen.","To see if telling me that someone did not have food would make my donation more generous.","No, I would like to complete the study.",1313,"English",40,"Female","White","United States","United States","United States","English",NA,NA
1779,"Debt","Pressure",2023-08-20 18:52:03,2023-08-20 18:58:05,2023-08-20 18:58:06,361,"I consent to participate in this study. Take me to the study.",0.62,"You would earn $0.75, and the other person would earn $0.25","I was matched with a person that was given 0.25. They decided to multiply this amount by four and send that money to me which was a total of 1.00. I don't know who this person is and they don't know me.",1.311,2.524,3.379,3,0,"I decided to choose the amount that would benefit me the most. So sending no money to the other person was the right choice for me.","Some experience","The other person did not know who I was and I didn't know them. It was a randomly matched person. This person sent me the 0.25 that they were given and multiplied it by 4 so they gave me 1.00 in total.","Trust and compassion for strangers","No, I would like to complete the study.",138,"English, Spanish",33,"Male","White","United States","United States","United States","English","No","Part-Time"
1780,"Control","Pressure",2023-08-20 18:13:38,2023-08-20 18:58:28,2023-08-20 18:58:28,2689,"I consent to participate in this study. Take me to the study.",0.77,"You would earn $0.75, and the other person would earn $0.25","That I won't know the person and if I gave them 25 cents they would get andi would get .75 cents",6.703,8.606,10.787,2,0.3,"Not to much but not to little either","Some experience","That they were a real live person and we don't know each other","How stingy people are when it comes to their money","No, I would like to complete the study.",727,"English",38,"Female","White","United States","United States","United States","English",NA,"Full-Time"
1781,"Debt","Delay",2023-08-20 18:50:26,2023-08-20 18:58:28,2023-08-20 18:58:29,482,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","He had received an initial payment of 0.25, and had decided to quadruple it and send it all to me, for $1.00.",16.552,16.552,18.103,1,0,"I'm not sure if the other person is a real person or not.","Some experience","The other person received $0.25 initially. He had the option to quadruple and send it to me, which would be a total of $1.00. He took this option and sent me $1.00, leaving him with 0.","Reciprocity.. if I would feel any obligation to return some of the money back to him, or keep it all for my self.","No, I would like to complete the study.",3876,"English",59,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
